BoundingBox_X1,BoundingBox_Y1,BoundingBox_X2,BoundingBox_Y2,Confidence,Label,Width,Height,AspectRatio
97,74,633,637,0.8853654861450195,0,536,563,0.9520426287744227
88,76,634,639,0.8823835849761963,0,546,563,0.9698046181172292
89,45,620,640,0.8327688574790955,0,531,595,0.892436974789916
94,46,633,639,0.8644618988037109,0,539,593,0.9089376053962901
101,380,118,426,0.3064584732055664,39,17,46,0.3695652173913043
101,124,633,639,0.70845627784729,0,532,515,1.033009708737864
89,58,635,639,0.7985568642616272,0,546,581,0.9397590361445783
519,334,639,637,0.3006533682346344,57,120,303,0.39603960396039606
100,66,625,638,0.801814615726471,0,525,572,0.9178321678321678
517,335,639,636,0.3416140079498291,57,122,301,0.4053156146179402
92,39,635,639,0.8712825179100037,0,543,600,0.905
519,334,639,636,0.36981794238090515,57,120,302,0.3973509933774834
101,381,118,426,0.3198084533214569,39,17,45,0.37777777777777777
98,35,622,639,0.7986943125724792,0,524,604,0.8675496688741722
95,32,633,638,0.8797894716262817,0,538,606,0.8877887788778878
514,405,639,637,0.3026251792907715,57,125,232,0.5387931034482759
100,29,625,638,0.8285037279129028,0,525,609,0.8620689655172413
94,44,632,639,0.7451030611991882,0,538,595,0.9042016806722689
101,377,119,424,0.43510594964027405,39,18,47,0.3829787234042553
96,39,634,639,0.8099403381347656,0,538,600,0.8966666666666666
513,335,639,634,0.3915238380432129,57,126,299,0.4214046822742475
97,36,636,638,0.8988023996353149,0,539,602,0.8953488372093024
519,333,639,638,0.40147945284843445,57,120,305,0.39344262295081966
90,46,631,639,0.8366374969482422,0,541,593,0.9123102866779089
101,378,119,423,0.4628017842769623,39,18,45,0.4
101,50,634,638,0.853252112865448,0,533,588,0.9064625850340136
101,28,624,638,0.7462130188941956,0,523,610,0.8573770491803279
97,39,633,638,0.8304437398910522,0,536,599,0.8948247078464107
101,378,119,423,0.44049739837646484,39,18,45,0.4
99,35,635,638,0.8722015619277954,0,536,603,0.8888888888888888
517,332,639,636,0.40874239802360535,57,122,304,0.40131578947368424
90,36,634,639,0.7175945043563843,0,544,603,0.9021558872305141
100,36,626,639,0.8241795301437378,0,526,603,0.8723051409618574
94,32,626,639,0.8099779486656189,0,532,607,0.8764415156507414
103,76,633,639,0.8367785811424255,0,530,563,0.9413854351687388
519,332,639,636,0.34604838490486145,57,120,304,0.39473684210526316
101,56,633,638,0.8041149377822876,0,532,582,0.9140893470790378
95,58,632,639,0.876486599445343,0,537,581,0.9242685025817556
100,375,118,420,0.33135470747947693,39,18,45,0.4
103,46,625,638,0.7855592966079712,0,522,592,0.8817567567567568
101,375,118,422,0.31075266003608704,39,17,47,0.3617021276595745
96,36,632,638,0.7402204871177673,0,536,602,0.8903654485049833
95,43,633,639,0.7945414185523987,0,538,596,0.9026845637583892
519,410,639,639,0.4001306891441345,57,120,229,0.5240174672489083
113,28,559,637,0.33152496814727783,0,446,609,0.7323481116584565
249,407,483,639,0.6000040173530579,0,234,232,1.0086206896551724
247,407,588,639,0.32261696457862854,0,341,232,1.4698275862068966
203,369,475,639,0.4484891891479492,15,272,270,1.0074074074074073
201,347,468,639,0.451066792011261,0,267,292,0.9143835616438356
8,469,71,532,0.32777220010757446,28,63,63,1.0
425,308,640,636,0.525015652179718,61,215,328,0.6554878048780488
155,261,611,640,0.5194122195243835,15,456,379,1.2031662269129288
33,262,553,639,0.4838848412036896,15,520,377,1.3793103448275863
206,265,452,640,0.30616509914398193,15,246,375,0.656
126,220,570,639,0.7236931920051575,0,444,419,1.0596658711217184
110,199,614,639,0.5535504817962646,0,504,440,1.1454545454545455
110,189,624,639,0.5078105926513672,0,514,450,1.1422222222222222
20,444,237,638,0.3267916440963745,59,217,194,1.1185567010309279
104,193,614,638,0.5648857951164246,0,510,445,1.146067415730337
440,285,639,604,0.5005555152893066,59,199,319,0.6238244514106583
63,175,633,639,0.6332513093948364,0,570,464,1.228448275862069
22,208,523,639,0.38431912660598755,0,501,431,1.1624129930394431
182,293,493,639,0.6648707389831543,0,311,346,0.8988439306358381
172,270,596,639,0.5307690501213074,0,424,369,1.1490514905149052
168,248,579,639,0.7714501023292542,0,411,391,1.051150895140665
139,187,569,639,0.301550954580307,15,430,452,0.9513274336283186
124,242,638,639,0.34255921840667725,15,514,397,1.2947103274559193
95,156,626,639,0.3355697989463806,15,531,483,1.0993788819875776
99,325,634,639,0.3974628150463104,15,535,314,1.7038216560509554
41,212,632,639,0.6105301380157471,15,591,427,1.3840749414519906
33,128,636,638,0.5228002667427063,15,603,510,1.1823529411764706
46,187,635,638,0.4751664698123932,15,589,451,1.3059866962305986
32,164,632,638,0.5614401698112488,15,600,474,1.2658227848101267
36,203,593,640,0.30720409750938416,0,557,437,1.2745995423340961
36,177,636,638,0.6546375751495361,15,600,461,1.3015184381778742
